,id,file,year,newspaper,city,TAG,text
177,93041,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1891__page_21.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"recuerdo extemporaneo ficar su atentado que esta garantia, justicia cumpla el suyo nada me rosto por americano que la constitucion pono en caso en el numero 43 de la prensa, a los hijos de la republica, correspondiente al 15 de julio, ha afirmacion inaxacta ! logios ab para ordenar la prision de un ciudadano sin, pues ei los extranjeros que han recibido corllamos el siguicrite parrafo  si, es verdad que se olvidan cosas que no re decir quo todavia ao respeta un jeros a los que par ol articulo 5a inoise 4.  querido bucer a los comprendidos an pae joureral olyularne, y que so igdorad orost que no debieran iguofarse.  sirva de ejemplo tanto la ley, nun ounndo se insisto onde la constitucion son venezolanos, lo que, con la vousa del aefor, caro, vamos a falsearla.  deoir, y toineo noth el correo nacionaly el enipero, siempre os oso el princi tef soberano de la republica, porque en ella autor del articulo, los liberales y las condic pio del camino quo siguon los pronihaluras, e litorial del diario de gundina denciales y los ilustres, y tal vez non  puole como individuo oalificke dlo atenta."
178,19851,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD168_El oso_results/PD168_El oso__2__page_7.json,1845,El oso,"Lima, Perú",IRONÍA,"este es el metodo decente y honroso como deben tratarse semejantes asuntos.  ridiculizamos las cosas , los abusos, no las personas nida medra el hombre que ridiculiza a otro y solo logra hacerse un villano.  siempre que u.  dude de nuestra ascveracion , le retamos a fin de que nos pruebe que tan sola una de las caricaturas que hemos publicado, se haya aplicado a persona determinada.  si no lo hace u.  calumnia por adular , y escribe lo que no siente.  ¿quiere u.  una prueba? compare el estilo de su primera carta con el de la segunda .  llora u.  como siempre y como la magdalena al fin de su quinto acapite que paso a contestar, sobre los males que affijen al peru.  mi amigo, no lloro yo tanto y los siento mas.  si en europa se satirizan a los ministros, monarcas  . , como dice u.  por medio de la caricatura , es porque lo merecen.  lo hemos visto y aseguramos a u.  que semejante medio ha producido muy utiles resultados.  quiza es el mejor freno para contener la concusion en un ministro y el despotismo en el monarca."
179,90755,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Abril 1892__page_16.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"bogota, martes 19 de abril de 1892 . diario de cundinamarca .  41 .  condiciones.  este periodlos ne publios, por ahora, los martes y c. flereyy y go gaofca con todos los denius, onclone.  108  sembranosipofones od la agchola genoral bo real ben wiera ! namero 270, 4 5por ano 90 zdmoros ysi, por somentro 48 admoros !! ! el pago dess hackere anticipadaneie.  el agonto conaral, antonio me hayas, el siglo de caracas, correspondien manifestaciones particulares y de la prensa volucion que oprime y no protoje, que atrate al 10 de marzo ultimo, inserta en adhoc, el congreso legalizace oquel aten se y no adolantu, que destruye y no edifica 1 sus columnas la siguiente protesta taterio pensamiento  diese asi la espalda al la mayoria del congreso fel y respetuoque levanta la mayoria de la ropro principio de le alternabilidad en ol ejercicio en a la autoridad de in ley, no ha querido sentacion nacional contra el presidente de la republica, quien deso tes de la constitucion vigento interrumpiefondo los clamores del pueblo vene co de cote suerte la sucesion legitima do la tado su propia candidatura para continuar tado anzola, senador por zalis, joso manuel zolano, de inusitada manera pisotea primera magistratura do la nacion, volcase al frente de los destinos nacionales, la carta fundamental del pais para el orden legal de jes estados, y falto de pa y ha destituido empleados que se ban ne."
180,93231,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1893__page_6.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"141 1 garrooka.  cronica departamental.  santander la regeneracion.  en sus relaciones exteriores.  si los hechos consumadoa, no aparcjaran ir mongue de colombia callarfamda, porque ane en favorezca ix deserolon de las fuerzas nos pueden huistir, y asisteb,  los de tu esto ha sido tu consigna que roa hemos, in que bacenla guarnicion delas fronteras ligion cuando lo quieren! el setof oura do .  poesto voluntariamente anto el fantasma sino que ceso in ofielosidad corvil, para que la poblacion, sin razon de ulogun genero que ha arrojado con su tanto de miseria, entre on su lugar un principio de derecho y lo retamos a que les diga ha notificado por tomor  tae facultades extraordinarias mioe privados, hechos entro los vapores del que los retiren de el, porque de lo contrario.  con todos sus decafuores y tropelfas, ni por ! jeatual, sino porque ruboriza el relatar aconhistoria que lleuau de oprobio la tierra quo 169 nos vio nacer.  entremos en materia a uneelro posar hagamos lus, para que la sombra no dos coly de la bonra nacional."
181,101137,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__4__page_29.json,1889,Colombia ilustrada,Bogotá,POSITIVO,"caracter social de la literatura.  p.  a literatura de nuestra epoca, como en ninguna de las anteriores, seduce a las inteligencias mas privilegiadas.  jurisconsultos, politicos, filosofos, hombres de ciencia y de negocios, todos se enardecen con ese fuego sacro que han alimentado los homeros e isaias, los dantes y virgilios, los shakespeares y los cervantes.  casi todos los hombres notables en el foro, en la tribuna y en la diplomacia, son a la vez, por lo general, eminentes literatos, sin que sea extrano el caso de que, despues de una acalorada discusion ministerial o parlamentaria, se reunan en torno de academica presidencia a debatir el origen usual ortografico 6 la razon filosofica de un idiotismo elevado al rango de precepto gramatical.  la literatura es no solo el trait dunion de todos los ramos del saber humano, sino tambien, y de una manera peculiar y significativa, el estrecho vinculo que liga a los hombres de algun valer intelectual, ya sean los mas encontrados y terribles adversarios en los dominios de la filosofia, la religion y la politica."
183,47811,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_358__page_11.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,viaje de cyro .  diccionario universal de comercio diccionario espanol e ingles.  tablas logaritmicas.  cormondiccionario movimientos celestes gramatica castellana .  islacompendio de la hist. a de espana .  ulloanoticias americanas .  enciclopediael primer tomo.  jorge juanobservaciones astronomicas ordenanzas de artilleria .  ordenanzas de ingenieros .  coleccion de papeles sobre controversias efemerides astronomicas.  observaciones sobre el clima de lima .  informe al real consulado de cartagena.  influjo del clima sobre los seres organiz. os calculo de longitud en el mar .  coleccion de ejercicios de artilleria .  relacion del viaje de las goletas sutil y mejicana .  nueva antorcha del mar.  2 ejemp .  tablas para el uso de la nav. on atlas para el viaje de las goletas sutil y mejicana .  tablas lineales.  tratado de agricultura .  principios de matematicas .  arte tormentaria 6 artilleria elementos de la guerrasolo el tomo 3. o suplemento al diario historicosolo el tercer tomo .  el marinero instruido.
184,12830,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF730_Mefistofeles_results/PF730_Mefistofeles__20230916_183915__page_0.json,1897,PF730_Mefistofeles,Bogotá,NEGATIVO,"vieron al puerto de la dorada.  y com nunca faltan fantoches, el capitan do cuanto aparezca en nuestra hoja secuencias horrorosas, me resulta, a mas de comandaba esa guardia llego al puer juri por nosotros sostenido y probado, y labiola rosa en que se encuentran ridiculo, censurable a todas luces.  lenguael arma de mayor alcance que menos mal cuando un cervantista impey notifico a los capitanes de los buqu cuanto salga de nuestra pluma es  mas gusanos.  nitente le coge a usted entre dos puertas que no podian salir porque el gobierno itsdo y asentado sobre bases que no lo habia prohibido.  esta notificacion ine carambaran plumadas mal intenciose conoce hasta ahora.  ra referirle lo mucho que ha trabajado m en busca de un documento autografo de perada obligo a tomar medidas activa cervantes, en el cual consta que le debia dando por resultado que eso era un ab inmortalidad modestiala funda del talento.  cuatro escudos a la lavandera.  esto podra ser pueril, pero no ofende la memoria del go del tal capitan."
185,54553,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_393__page_9.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"elemento de sus mayores aspiraciones y se consagro al los aztecas, cuya civilizacion asombro indudablemente a estudio que inmortalizo su nombre.  principio dotando a este establecimiento con dos reliquias preciosisimas  la una era un pendulo astronomico, obra maestra del celebre constructor graham, la cual habia servido a los academicos ulloa y jorge juan en su viaje al ecuador para determinar la magnitud del cuarto del meridiano terrestre  y la otra era un cuarto de circulo de john bird, de 18 pulgadas de radio, con un micrometro exterior , que sirvio a humboldt en su viaje al orinoco.  grandes y sublimes fueron las aspiraciones de mutis, creadas, desarrolladas y cumplidas por su genio privilegiado por una parte, las conquistas de una gloria inocente, en el campo de la ciencia, estudiando las maravillas y secretos de las regiones intertropicales, maravillas y secretos que la naturaleza le brindaba en favor de la humanidad, a quien el se habia consagrado y por otra parte, la exaltacion de su fe con el ejercicio de sus acrisoladas virtudes, y en el cumplimiento de sus deberes sacerdotales, en los altares levantados en estas regiones, tambien llenas de fe y de inocencia, a la par que ricas en los beneficios del criador."
186,40388,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD603_Ariete_results/PD603_Ariete__El ariete__page_14.json,1849,Ariete,Calí,IRONÍA,"de loreto a entregar 30,000 escudos romanos  treinta mil pesos .  a la tramoina de turin escriben de roma sus corresponsales a fines de mayo netre las victimas de los canibales rojos se cuentan va setenta i seis sacerdotes.  en diversas iglesias los satelifes de cicermacchio se han robado los vasos sagrados.  hai mas de 3,100 barricadas, pues no son los romanos los que quieren resistir a los franceses, sino mas bien los 28,000 hombres, todos jentes perdidas  1  de calabreses, sicilianos, toscanos liorneses, jenoveses, .  al mismo periodico con fecha 4 de junio ledicen os aseguro que todos los departamentos particulares del santo padre han sido.  abiertos e inventariados, i los archivos de la santa sede han sido tambien abiertos i hojeados.  una orda de bandidos ha invadido las iglesias de san carlos, de jesus maria en corso i la de san lorenzo en lucina, santa maria del popolo i del monte santo de dondesacaron los confesouarios para quemarlos en la plaza del popolo 2, cicermacchio con su partida  liberal  entraba en estas iglesias."
187,5502,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__15__page_5.json,1890,El zancudo,Santafé de Bogotá,NEGATIVO,"zancudo, que tanto ha gustado aqui a todo el  serie 6a, se suspendera definitivamente el enmundo.  las suscripciones estan colocadas, y me tienen loco por otras.  puede enviarme veinte mas.  por el correo proximo recibira usted el valor de todas.   su estimador y copartidario,  segismundo moroso.  asi como esta, son las demas cartas que trae la balija.  y luego vienen un sin numero de telegramas que, poco mas o menos, dicen  periodico agrada mucho.  suscripciones colocadas todas.  sirvase aumentar el envio.  correo enviare dinero.   pacho embrollas.   proximo correo llevara fondos.  maude 10 suscripciones mas.   fulgencio trabacuentas mas sacrificios, pues  se ha suspendido el tiro por falta de papel, pero a buscar con que comprarlo a hacer trabajar de noche pagandoles el doble, por supuesto a los empleados de la prensa ete.  ¡ por el correo proximo ! al felicidad ! ya habra con que pagar algo de lo que se debe por el zancudo.  en la proxima semana saldre de cuitas.  pasa la semana que se me ha hecho interminable y apenas puedo conciliar el sueno con la esperanza de que pronto llegari in anunciada remesa."
188,108224,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__7__page_12.json,1889,Colombia ilustrada,Bogotá,NEGATIVO,"tiempo el vacio que en fatal hora se produjo en la culta sociedad, en las bellas artes y en la literatura colombiana.   no hay hombre indispensable, ha dicho la filosofia moderna mas a pesar de este duro aforismo, y dado el cumulo de singulares cualidades que armonizaron felizmente en la persona de alberto, para servir al pais en campos no trillados por otros compatriotas suyos, nosotros abrigamos la conviccion de que una existencia preciosa y unica en su genero, como la que nos ocupa, necesitaba alcanzar hasta la senectud para consagrarse entera a la realizacion de los generosos ideales que la intempestiva muerte paralizo en el luminoso cerebro del nunca bien sentido artista bogotano.   nacido en el seno de un hogar honorable y rebosante de bienestar, y dotado por la naturaleza con una fisonomia en extremo simpatica, un caracter caballeresco, una inteligencia despejada y delicadas aficiones que despertaron y perfeccionaron gradualmente la esmerada educacion que recibio en bogota, y los provechosos viajes que hizo a ultramar, alberto pudo expandir a su sabor las levantadas tendencias que bullian en su alma."
189,35911,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF146_Los matachines ilustrados_results/PF146_Los matachines ilustrados__Image0014(1)__page_0.json,1855,Los matachines ilustrados,Bogotá,IRONÍA,"fabula lei da en la sesion del 1 2 por el honorable cumbamba.  el tigre en la trampa.  un tigre viejo encontro una jaula abandonada, de cojer tigres por cierto, al salir de la montana.  un proyecto alli concibe i lo pone luego en planta i es, meterse sin recelo alla dentro de la trampa.  i finjiendo que esta preso lamentarse en su desgracia para mover compasion en los brutos que pasaran.  i haciendose medio muerto rogarles con grandes ansias que lo sacasen a fuera para clavarles las garras.  en efecto.  los venados, las zorras, burros i cabras al escuchar los lamentos del preso, se le acercaban pero sin entrar adentro, porque lo tenian a chanza, viendo la jaula podrida que podia desbaratarla de un manoton, si quisiera, i salirse a la montana donde libre entre los suyos podia verse, en dos zancadas.  por mas que el tigre finjia lamentar de su desgracia, ninguno cree sus clamores, todos dicen, son trapasas de este vetusto traidor que, como. es tan buen alhaja, quiere cojernos adentro i comernos las entranas."
190,55311,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_405__page_9.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"adorno una elevada torre, destinada a campanario, pero a la que apenas si se ha hecho subir de la nave  esta se encuentra agrietada por todas partes los muros han perdido la vertical  las columnas estan inclinadas de un modo amenazador.  antes de mucho tiempo las hormigas acabaran de arruinarla, pues en numerosisimas legiones lo ocupan todo, desde los cimientos hasta la techumbre .  de los demas monasterios apenas quedan las capillas  poco a poco, despues de las sucesivas reformas politicas y economicas que los gobiernos han llevado a cabo, se han ido convirtiendo en casas habitables, o se han desmoronado por el abandono .  entre las iglesias que aun sirven al culto, pueden citarse san juan de dios, san felipe, y la del convento de santo domingo, cuyos muros se conservan en buen estado, pero de la que un incendio ha destrozado el techo .  aun puede verse un arco de mas de veinte metros, y cuya curva es de una forma muy perfecta .  esta iglesia, que a poca costa hubiera podido conservarse poco despues del siniestro que la dejo descubierta, y que durante mucho tiempo estuvo abandonada sin que nadie se acordara de ella, ha llegado al fin a convertirse en una panaderia al vapor."
191,88631,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Abril 1892__page_14.json,1869,El diario de Cundinamarca,Bogotá,POSITIVO,"saludo de bienvenida lo ofrecemos segun parece por el senor vargas fajardo.  no, ningun genero onalided tanto maa estimable, pero esta todo, permitama que lo sugare may respetuoso y cordial al sefler doctor tenemos notiola de que ninguno de los otros cuanto mas para su en los antusles tiempos.  climaco gomez valdor, quien despots de candidatos nos portero o sirviente de la go.  concofa la manera de educar y sabia emplear en inteligencia por el estudio y por la obserlargos affos de ausencia del suelo de la pa bernacion .  pursouas que hayan desempelindo con cordara los medios para obtener los me vacion, una a una caeran . aus ojos, destatria y do permanoncin en ol ecuador , donde tanto so hizo conocer en el comercio y en eso es muy distinto do ser porteros o sirvien energia razonadas, y no aquellos movimientos hoy la ve engalanada.  y que entonoca, la mael periodismo , acaba de llegar a esta cin l todo sentido grata tad.  que eu permanencia en ella le seu en sia concional y sin caracter, si fue asi, os muy contrarian los fines de la bueno educacion lo hara fijar las miradas en la doctrina y en euera de politiol ."
193,56249,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_386__page_14.json,1881,Papel Periodico ilustrado,Cali,IRONÍA,"antes de que salga por ahi algun biografo admirador nuestro, diciendo de que pie cojeamos, es preciso revelar al lector este secreto.  tu padeces de cierto achaque reumatico, y yo de un dolor nervioso revolucionario, quiero decir, intermitente  el tuyo heredado de tu bella e interesante madre el mio adquirido, no dire con el sudor de mi frente, porque yo nunca sudo, sino con mi trabajo diario.  pero mis pies son tan sanos como los de un nino, y no tengo el honor de conocer los callos.  me resigno con mi dolencia pensando que alguna cruz he de tenery es la unica, loado sea dios ! mientras que otros las tienen desde la cruz hasta la fecha  6 hasta el rabo, segun distinto modismo  y tambien reflexionando que los mayores de veinticinco anos y sin generales, estamos expuestos a eso y mucho mas.  estando en estos pensamientos, y echando de ver que no es justo ni cortes hablar al publico de nuestras personalidades , aunque el guste bastante de esta frutay mucho menos de nuestras piernas, y a proposito de cojera, recorde, por fortuna y por desgracia, que alla, a mediados del siglo xviii, habia escrito yo unos apuntamientos que llevaban por titulo  un manco y un cojo, y pensaba hacerlos publicar a segunda y tercera instancia de nuestro vergara y vergara pero otro amigo a quien hable de ellos, y aun sugeri que los beneficiara con su galana pluma, como que el lo haria mejor que yo, los tomo y ."
195,51467,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_372__page_5.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"santiago ospina, jacobo paez, joaquin pena, victor higuera, teofilo prado, francisco nunez campo, timoleon meneses, ezequiel cuartas, romulo guerrero y benjamin rey acero.  ya en otro numero hemos hablado de la academia de musica, que termino sus trabajos con un lucido concierto, y de la vasquez, que presento una exposicion de dibujos, la cual correspondio debidamente a lo que promete aquel simpatico establecimiento.  trascribimos el siguiente aparte del informe que dan al senor secretario de instruccion publica los senores demetrio paredes, rafael pombo y el director de este periodico, nombrados para calificar los trabajos   entre los estudios del natural merecen especial elogio las academias de hombres, desempenadas por los senores ricardo acevedo y roberto pinzon, y en la copia del yeso se han distinguido los senores jesus abello, ignacio vargas y andres pinillos.  todos los alumnos han presentado trabajos tomados de la estampa, y podemos apuntar como muy notables los presentados por los senores ricardo acevedo, roberto pinzon, victor forero, victor nates, alfredo grenas, jose maria ramirez, ignacio vargas, samuel velazquez, andres pinillos, rafael tavera y eustorgio granados."
196,66814,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_301__page_10.json,1881,Papel Periodico ilustrado,Cali,NEGATIVO,"mente les fuera entregada en pequenas porciones por las respectivas autoridades de los distritos de ubate y de soacha, en donde habitan, o por los ciudadanos que la junta del centenario designara, haria tranquila la achacosa ancianidad de aquellos soldados de la patria que moririan atestiguando que la nacion vino en su auxilio y que no en todas ocasiones puede decirse que la republica es ingrata.  decretad esa suma, ciudadanos senadores y representantes  ella no empobrecera el tesoro de la patria y ante la noticia de que habeis engalanado la fiesta del centenario dando una recompensa a dos humildes cabos del grande ejercito, que estaban olvidados, los heroes de la patria aplaudiran desde su panteon de gloria  camacho tendra fuerza para agitar sus muletas como algun dia hizo jugar su fusil para abrirse paso en pumarejo  garibello redoblara en su caja como en los grandes dias de la patria y la nacion entera, de quien nos creemos eco en la presente ocasion, abonara en la cuenta de vuestros merecimientos el de haber pagado una deuda de gratitud a dos servidores tan humildes que ni sospechaban tener derecho a ello, y por quienes prestan voz y caucion."
198,27624,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_feb_1888__page_4.json,1888,El taller,Bogotá,POSITIVO,"numero 78.  daciones del ministro colombiano, y del doctor d.  jose triana.  esta fabrica esta situada a diez leguas de paris, y es una de las mas notables de francia  pero en ella no se reciben aprendices sino mediante fianzas de dificil hallazgo, que garanticen la permanencia del postulante en el aprendizaje durante ocho o diez anos, a no ser que los conocimientos que tenga le den plaza como obrero para que la casa gane utilidades, siempre bajo la garantia del ministro o consul de la nacionalidad del aprendiz.  nepomuceno rodriguez logro hacerse aceptar como.  obrero conocedor de la mecanica, y le dieron plaza en el taller de fabricacion de locomotoras para armar, desarmar y reparar las maquinas de ferrocarriles.  dos meses despues de estar en la citada fabrica, el gobierno decreto una exposicion de ferrocarriles para conmemorar el cincuentenario del primer ferrocarril estrenado en 1837.  tocole a rodriguez ser escogido entre les operarios de la fabrica, en donde los hay alemanes, ingleses y belgas, para instalar y exponer la ultima invencion de decauville en materia de maquina de fuerza."
200,32441,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_sep_1888__page_11.json,1888,El taller,Bogotá,NEUTRO,"el entendimiento, dueno de la casa, es un senor de muchas campanillas, de porte senori y mirada chispeante.  vive pared de por medio con la memoria, senora grave y circunspecta, que lleva pintadas en el semblante la melancoia del pasado y toda la amargura de los desenalguna empresa literaria se tenia d.  entenen los aposentos de la memoria, y con gran sorpresa de esta empezo por pedirle cuenta minu ciosa de cuanto alli tenia en calidad de deposito ¡ un inventario formal! replico la memoria, cada vez mas asombrada de ver a su flamante es cabalmente lo que deseo.  quiro saber y literarios, fruto, como sabeis, de grandisimos empenos en el campo del estudio, pues entiendo que estos aposentos deben de rebosar en nada de eso, respondio friamente la senora de los recuerdos, acompanando sus palabras con una sonrisa que llen6 de espanto al que nada, senor, teneis en mi poder.  entra aqui de ordinario algo como un vientecillo frio, que todo lo consume luego a luego.  he tapado muy bien las rendijas, puesto vidrieras a los postigos, cerrado, en fin, el cuarto del archivo pero todo ha sido en vano."
201,41269,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF239_Los andes_results/PF239_Los andes__Image0016__page_0.json,1878,Los andes,"París, Francia",NEUTRO," el dia convenido, dice en su relacion, sali de romorantin a las cuatro de la manana, despedido al desagradable ruido de las homericas carcajadas de mis contrarios.  llegue al camino de orleans por el mail, pero veia con pena que mi batallon no adelantaba cosa.  al menor ruido, era de verse el desconcierto que cundia en los rangos de mi pequeno ejercito.  a las seis y media, apenas habiamos caminado tres kilometros.  yo estaba desesperado.  felizmente, me ocurrio la idea de insinuar a cada uno de ellos una gota de aguardiente.  el efecto fue tan energice que al punto partieron con tal velocidad que se me hacia dificil seguirlos.   pasamos sucesivamente por millancay, la ferte, beauharnais y chaumontsurcharonne.  por la noche llegamos a la fertesaintaubin.  mi cansancio era extremado, porque a mas de no haber comido nada desde por la manana, habla tenido que venir corriendo por aqui y por alla para ver de reunir mis conejos que se me desbandaban a cada instante.   al segundo dia de viaje, llegamos a orleans, y el tercero a paris, mucho antes del plazo convenido."
202,82700,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF446_El clarin_results/PF446_El clarin__20230923_152809__page_0.json,1898,El clarin,Bogotá,NEGATIVO,"mia las adulaciones de sus amigos.  bia y cuando esto suceda, cuando lo ! y con mano tremula tomo su revolver.  esto, pues, esta en el orden natural  gremos por medio de inauditos esfuerde su cuarto salio con paso acelerade las aspiraciones del senor palacio zos salvarla, ella sabra corresponder a  do hacia la iglesia.  pero que nos bable de libertinaje quien nuestro amor y levantara orgullosa su anibal llego al templo cuyo recinto ha hecho de su vida una indefinida saaltiva frente, haciendo ondear su preencontraba sin un fiel.  entro en la turnal de moralidad, quien ha inten cioso y emblematico estandarte, grisacristia y alli solo encontro al satado suicidarse dos veces la primera tando ante las naciones civilizadas cristan.  disparandose un revolvers en la cla ¡ viva la libertad ! ¡ viva el progreso! el sacristan se asusto a la vista de visula derecha para que le hiriera el anibal samper.  un hombre de semblante airado y que ventriculo izquierdo de ese gran corahonda, marzo 14 de 1898."
203,59135,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_383__page_18.json,1881,Papel Periodico ilustrado,Cali,NEGATIVO,"se estipula que se respetaran las personas, pero que territorio y armas se entregaran a monteverde.  el 30 de julio entro monteverde a caracas, y ese dia se halla.  ba bolivar en laguaira, y por la tarde llegaba alli el general miranda.  antes de que monteverde entrase a la capital, los patriotas mas exaltados habian salido en direccion al puerto para refu.  giarse en tierra extranjera, y todos estaban agrupados esa tarde a la orilla del mar esperando el momento de embarcarse, cuando supieron la llegada del general miranda, y montados en furia por su desgraciada capitulacion, lo ponen preso, de acuerdo con el coronel casas, comandante del puerto nombra.  do por el gobierno independiente.  al dia siguiente casas, despues de recibir un oficio de mon.  teverde, notifica a los patriotas que no se les permite embar.  carse, y ordena que se haga fuego con el canon a las naves que se den a la vela entonces el terror y la confusion se apodera de los desgraciados patriotas ellos suplican y ruegan a casas que no los deje sacrificar, pero este se niega obstinadamente a permitir que se embarquen, hasta que a pocas horas llegan dos batallones de monteverde, se posesionan de la plaza, y lo demas no es del caso referirlo."
204,56254,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_386__page_14.json,1881,Papel Periodico ilustrado,Cali,IRONÍA,"antes de que salga por ahi algun biografo admirador nuestro, diciendo de que pie cojeamos, es preciso revelar al lector este secreto.  tu padeces de cierto achaque reumatico, y yo de un dolor nervioso revolucionario, quiero decir, intermitente  el tuyo heredado de tu bella e interesante madre el mio adquirido, no dire con el sudor de mi frente, porque yo nunca sudo, sino con mi trabajo diario.  pero mis pies son tan sanos como los de un nino, y no tengo el honor de conocer los callos.  me resigno con mi dolencia pensando que alguna cruz he de tenery es la unica, loado sea dios ! mientras que otros las tienen desde la cruz hasta la fecha  6 hasta el rabo, segun distinto modismo  y tambien reflexionando que los mayores de veinticinco anos y sin generales, estamos expuestos a eso y mucho mas.  estando en estos pensamientos, y echando de ver que no es justo ni cortes hablar al publico de nuestras personalidades , aunque el guste bastante de esta frutay mucho menos de nuestras piernas, y a proposito de cojera, recorde, por fortuna y por desgracia, que alla, a mediados del siglo xviii, habia escrito yo unos apuntamientos que llevaban por titulo  un manco y un cojo, y pensaba hacerlos publicar a segunda y tercera instancia de nuestro vergara y vergara pero otro amigo a quien hable de ellos, y aun sugeri que los beneficiara con su galana pluma, como que el lo haria mejor que yo, los tomo y ."
205,79718,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_342__page_14.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"camino llano por una alameda.  en el mar del sur.  id.  isla en figura de un muerto.  isla frente a la embocadura del rio guayas.  id.  ciudad capital del departamento.  hasta el 18.  por el rio guayas.  por el mismo.  camino llano por sabana.  camino quebrado y montuoso sierra muy elevada, provincia de guaranda.  camino quebrado, paramo del chimborazo.  camino bueno arenisco.  camino regular frto, se faldea el cotopaxi.  camino algo quebrado.  mal camino, capital del departamento de quito al pie del pichincha.  sierra pesada, polvo en verano.  id.  id.  id.  el cayambe.  camino llano, hermoso pais cerca del imbabura.  laguna de yaguarcocha, valle ardiente y paramo.  sierra, montana de guaca.  camino llano.  buen camino, frio.  id.  id.  id.  montana  quebradas cerros y el guaitara.  montana y quebrada.  bajada y subida del juanambu.  montana y sierra escarpada.  sierra quebrada, subiba y llano.  quebrada ardiente.  valle ardiente.  patta.  sierra montuosa, ardiente templada.  id.  d.  clima benigno, capital del departamento del cauca."
206,111786,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD759_El democrata_results/PD759_El democrata__p17054coll26_19159__page_4.json,1891,El democrata,Bogotá,POSITIVO,"filosofo, institutor, tribuno y escritor de perseverancia y fecundidad infatigables, difundio entre la juventud la luz de sus conocimientos, proclamo las mas puras ensenanzas republicanas, enriquecio las ciencias y las letras de su patria, y lucho, como ninguno, en la arena periodistica.  pero no son estas imultiples y merecidas coronas las que formaran de preferencia el escudo de gloria que la historia colocara sobre la tumba que cerramos hoy.  no.  la fe inconstrastable en sus doctrinas politicas y la lealtad de sus procederes a sus convicciones, son los mas puros galardones que la posteridad otorgara a su memoriacuando, terminada la batalla, se disciernen las palmas del triunfo, no obtiene el mejor premio el soldado mas valeroso, mas audaz y mas afortunado  lo lleva el que ha sabido conservar, durante el combate, incolume y en alto, la bandera que se le confio.  afiliado desde nino a una escuela politica, siempre fue el primero en servirla, con fe profunda, con corazon entero, en la catedra del profesor, en la tribuna del parlamento, en el campo de batalla, en el bufete del literato, en el sillon del mandatario y en el circo de la prensa."
